caid,association_type,state,total_units,coastal_flag,avg_delinq_rate_12mo,max_delinq_rate_12mo,last_delinq_rate,delinq_trend_3mo,pct_months_serious_12mo,delinq_trend_12mo,delinq_volatility_12mo,avg_late_stage_rate_12mo,collection_ratio_12mo,lien_rate,attorney_referral_rate,rented_pct,vacant_pct,target_delinquency
CA-NV-00000001,HOA,NV,63,0,1.667,1.667,1.667,0.0,0.0,0.0,0.0,0.0,0.9985,0.0526,0.0,0.2833,0.05,0
CA-TX-00000002,HOA,TX,40,0,6.5,10.0,7.5,1.25,0.1667,1.0,2.0,3.0,0.9807,0.2708,0.125,0.25,0.125,0
CA-TX-00000003,HOA,TX,70,0,1.667,1.667,1.667,-0.0,0.0,-0.0,0.0,0.6667,0.9969,0.3571,0.1429,0.3667,0.0667,0
CA-TX-00000004,HOA,TX,129,0,4.167,5.0,3.333,-0.8333,0.0,0.1111,1.118,2.6667,0.9868,0.2778,0.1778,0.4333,0.0833,0
CA-CA-00000005,CONDO,CA,37,0,4.505,8.108,2.703,-1.3514,0.25,-0.3089,2.0145,2.7027,0.9846,0.2857,0.1714,0.2432,0.0541,1
CA-WA-00000006,HOA,WA,37,1,2.703,2.703,2.703,-0.0,0.0,-0.0,0.0,1.3514,0.9989,0.2,0.1,0.1622,0.0811,0
CA-VA-00000007,HOA,VA,135,1,1.875,3.333,3.333,0.8333,0.0,0.1389,0.5512,0.8333,0.9904,0.36,0.16,0.3,0.1167,0
CA-NY-00000008,HOA,NY,76,0,1.875,3.333,1.667,-0.0,0.0,-0.0992,0.5512,1.0417,0.9993,0.3462,0.1923,0.3333,0.0667,0
CA-CA-00000009,HOA,CA,32,0,3.125,3.125,3.125,0.0,0.0,0.0,0.0,0.0,0.9971,0.1429,0.0,0.25,0.1562,0
CA-AZ-00000010,HOA,AZ,65,0,1.667,1.667,1.667,-0.0,0.0,0.0,0.0,0.5556,0.9994,0.1579,0.0526,0.2333,0.1333,0
CA-TX-00000011,MIXED,TX,32,0,5.729,6.25,6.25,-0.0,0.4167,0.4464,1.1646,4.1667,0.963,0.4231,0.3077,0.2188,0.0625,0
CA-FL-00000012,HOA,FL,32,0,4.464,9.375,9.375,3.125,0.1667,0.8929,2.2763,2.2321,0.9733,0.2564,0.1282,0.3438,0.0312,0
CA-AZ-00000013,HOA,AZ,52,0,1.923,1.923,1.923,-0.0,0.0,-0.0,0.0,0.9615,0.9858,0.0952,0.0476,0.3077,0.0769,0
CA-FL-00000014,PUD,FL,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0014,0.0,0.0,0.3636,0.0909,0
CA-NY-00000015,MIXED,NY,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0009,0.0,0.0,0.2308,0.0769,0
CA-IL-00000016,CONDO,IL,30,0,7.917,10.0,6.667,-1.6667,0.6667,0.0397,1.6137,5.8333,0.9507,0.3958,0.2917,0.2667,0.0667,0
CA-CA-00000017,HOA,CA,21,0,4.762,4.762,4.762,0.0,0.0,0.0,0.0,0.0,1.0026,0.1111,0.0,0.381,0.0476,0
CA-CO-00000018,PUD,CO,55,0,3.273,5.455,1.818,-0.9091,0.0833,-0.1818,1.3606,1.0909,0.9999,0.2571,0.0857,0.2909,0.1273,0
CA-IL-00000019,CONDO,IL,23,0,4.348,4.348,4.348,0.0,0.0,0.0,0.0,0.0,1.001,0.1429,0.0,0.3043,0.0435,0
CA-VA-00000020,CONDO,VA,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0002,0.0,0.0,0.375,0.0,0
CA-TX-00000021,PUD,TX,124,0,2.593,3.333,3.333,-0.0,0.0,0.0,0.8282,1.4815,0.9887,0.3784,0.2162,0.2,0.0667,0
CA-TX-00000022,HOA,TX,38,1,3.509,5.263,2.632,0.0,0.1667,-0.3008,1.2405,2.6316,1.0028,0.4706,0.3529,0.2895,0.0526,0
CA-NC-00000023,CONDO,NC,46,0,2.717,4.348,4.348,1.087,0.0,0.0518,0.9413,1.087,1.003,0.3571,0.1429,0.1957,0.0217,0
CA-FL-00000024,HOA,FL,16,1,14.286,25.0,6.25,-6.25,0.5833,-0.2232,7.2536,7.1429,0.9499,0.2807,0.1404,0.25,0.0,1
CA-FL-00000025,PUD,FL,30,1,5.0,6.667,3.333,-0.0,0.25,-0.8571,1.6667,3.3333,1.0047,0.2903,0.1935,0.2667,0.0,0
CA-CA-00000026,CONDO,CA,48,1,3.906,6.25,4.167,-1.0417,0.1667,0.1736,1.6263,2.0833,0.9818,0.3061,0.1633,0.2083,0.0208,0
CA-PA-00000027,MIXED,PA,19,0,5.263,5.263,5.263,0.0,0.1667,0.0,0.0,2.6316,0.9966,0.3333,0.1667,0.3684,0.0,0
CA-FL-00000028,CONDO,FL,58,0,2.874,5.172,3.448,0.8621,0.0833,0.0575,1.1494,1.5326,0.9721,0.2239,0.1194,0.3621,0.0517,0
CA-MA-00000029,HOA,MA,29,0,3.448,3.448,3.448,0.0,0.0,-0.0,0.0,2.5862,0.9844,0.2857,0.2143,0.2069,0.1379,0
CA-NC-00000030,PUD,NC,36,0,10.185,16.667,2.778,-4.1667,0.6667,-0.6019,4.343,7.4074,0.9934,0.4459,0.3243,0.1389,0.1111,0
CA-FL-00000031,CONDO,FL,29,1,3.448,3.448,3.448,0.0,0.0,0.0,0.0,1.7241,1.0008,0.3333,0.1667,0.2069,0.0345,0
CA-MA-00000032,CONDO,MA,163,0,4.167,6.667,3.333,-0.8333,0.1667,0.2121,1.7078,2.3333,0.9709,0.2717,0.1522,0.3167,0.05,0
CA-CO-00000033,CONDO,CO,44,0,2.273,2.273,2.273,0.0,0.0,0.0,0.0,0.0,0.9969,0.1818,0.0,0.2273,0.0682,0
CA-FL-00000034,PUD,FL,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9949,0.0,0.0,0.3333,0.0476,0
CA-WA-00000035,CONDO,WA,79,1,1.667,1.667,1.667,0.0,0.0,0.0,0.0,0.0,0.9964,0.1333,0.0,0.1833,0.05,0
CA-NY-00000036,PUD,NY,19,1,5.263,5.263,5.263,0.0,0.1667,0.0,0.0,2.6316,0.974,0.125,0.0625,0.2632,0.0,1
CA-AZ-00000037,CONDO,AZ,51,0,1.961,1.961,1.961,0.0,0.0,0.0,0.0,0.9804,1.0011,0.1667,0.0833,0.2745,0.0392,0
CA-GA-00000038,HOA,GA,11,0,9.091,9.091,9.091,0.0,0.1667,0.0,0.0,4.5455,1.0037,0.4,0.2,0.5455,0.1818,0
CA-FL-00000039,HOA,FL,17,1,8.235,11.765,5.882,-0.0,0.4167,-1.7647,2.8818,4.7059,0.9978,0.3182,0.1818,0.2941,0.1765,0
CA-FL-00000040,CONDO,FL,51,0,1.961,1.961,1.961,0.0,0.0,0.0,0.0,0.0,0.996,0.1429,0.0,0.4118,0.0196,0
CA-CA-00000041,CONDO,CA,74,1,9.833,11.667,8.333,-1.6667,0.75,-0.0707,2.1667,6.0,0.9655,0.3105,0.1895,0.2667,0.05,1
CA-NY-00000042,HOA,NY,50,0,2.0,2.0,2.0,-0.0,0.0,0.0,0.0,1.5556,0.9887,0.3913,0.3043,0.3,0.08,0
CA-NC-00000043,HOA,NC,41,1,4.472,9.756,2.439,0.0,0.1667,-0.6272,2.9594,2.0325,0.9965,0.2444,0.1111,0.3171,0.0976,0
CA-FL-00000044,HOA,FL,36,1,8.056,13.889,5.556,-2.7778,0.6667,-0.3872,4.0158,4.1667,0.9729,0.2636,0.1364,0.2222,0.0833,1
CA-CA-00000045,CONDO,CA,15,0,6.667,6.667,6.667,0.0,0.1667,0.0,0.0,3.3333,1.0025,0.2222,0.1111,0.1333,0.1333,0
