caid,association_type,coastal_flag,building_age,avg_funded_pct,last_funded_pct,funding_trend,contribution_ratio,total_open_workorders,critical_deferred_count,avg_deferred_days,open_workorder_cost,target_reserve_failure
CA-NV-00000001,HOA,0,38,80.137,81.92,2.11,0.0572,1,1,10.0,11512.7,0
CA-TX-00000002,HOA,0,29,24.453,24.95,1.525,0.05524,16,6,93.9,129359.63,1
CA-TX-00000003,HOA,0,8,100.23,101.24,0.85,0.06139,1,0,38.0,6918.62,0
CA-TX-00000004,HOA,0,37,47.27,46.95,-0.515,0.06903,8,4,38.4,77346.1,0
CA-CA-00000005,CONDO,0,30,40.333,41.86,0.025,0.0576,10,5,72.5,64155.93,0
CA-WA-00000006,HOA,1,34,50.347,49.01,-1.185,0.06313,0,0,0.0,0.0,0
CA-VA-00000007,HOA,1,28,66.277,67.28,1.325,0.06904,2,2,81.0,17424.38,0
CA-NY-00000008,HOA,0,47,80.107,78.75,-1.19,0.03778,1,0,10.0,832.61,0
CA-CA-00000009,HOA,0,21,70.58,70.75,0.31,0.04951,2,1,62.5,21502.92,0
CA-AZ-00000010,HOA,0,62,63.45,63.9,0.745,0.06895,0,0,0.0,0.0,0
CA-TX-00000011,MIXED,0,17,83.96,85.2,1.68,0.0608,1,0,14.0,8902.23,0
CA-FL-00000012,HOA,0,37,61.69,61.01,-0.46,0.0652,10,5,66.9,67221.44,0
CA-AZ-00000013,HOA,0,40,24.58,23.67,-1.115,0.05943,13,8,68.2,115320.84,1
CA-FL-00000014,PUD,1,6,84.377,85.6,1.655,0.04687,0,0,0.0,0.0,0
CA-NY-00000015,MIXED,1,23,81.657,83.46,1.325,0.05384,4,3,37.8,27783.72,0
CA-IL-00000016,CONDO,0,19,45.667,43.05,-0.9,0.06112,13,6,77.8,62558.21,0
CA-CA-00000017,HOA,0,22,64.593,65.92,0.93,0.06564,2,0,122.5,27660.96,0
CA-CO-00000018,PUD,0,58,68.34,68.09,-0.845,0.05968,1,0,204.0,3746.1,0
CA-IL-00000019,CONDO,0,42,70.133,69.85,-0.445,0.0655,2,1,67.5,11250.33,0
CA-VA-00000020,CONDO,1,59,50.847,50.75,-0.18,0.04655,1,1,33.0,4714.2,0
CA-TX-00000021,PUD,0,30,47.37,48.75,1.38,0.05869,0,0,0.0,0.0,0
CA-TX-00000022,HOA,1,10,59.867,60.35,0.165,0.0704,4,4,65.8,37499.9,0
CA-NC-00000023,CONDO,0,15,60.663,59.68,-1.44,0.04641,4,2,61.2,19461.83,0
CA-FL-00000024,HOA,1,2,18.683,17.5,-2.16,0.05238,55,26,82.9,389466.31,1
CA-FL-00000025,PUD,1,27,32.657,30.53,-2.085,0.05002,18,8,59.0,88169.14,0
CA-CA-00000026,CONDO,1,33,19.837,19.95,0.19,0.05888,13,7,93.8,91215.21,1
CA-PA-00000027,MIXED,0,59,76.087,76.98,0.75,0.06186,3,3,35.3,18457.15,0
CA-FL-00000028,CONDO,0,16,19.723,19.38,-0.415,0.03483,9,4,111.1,82829.48,1
CA-MA-00000029,HOA,0,62,70.297,70.37,-0.09,0.06154,2,2,68.5,24911.65,0
CA-NC-00000030,PUD,0,21,33.393,33.69,0.195,0.05648,10,5,91.6,77392.45,0
CA-FL-00000031,CONDO,1,21,68.76,68.85,0.875,0.04294,1,1,130.0,8348.13,0
CA-MA-00000032,CONDO,0,64,50.19,48.8,-0.75,0.07403,10,5,50.6,85249.94,0
CA-CO-00000033,CONDO,0,5,66.307,64.67,-1.08,0.04445,1,0,52.0,1144.17,0
CA-FL-00000034,PUD,0,8,58.47,59.72,1.125,0.05395,0,0,0.0,0.0,0
CA-WA-00000035,CONDO,1,42,82.417,83.62,1.065,0.06198,2,0,167.0,8277.29,0
CA-NY-00000036,PUD,1,39,77.36,75.75,-0.295,0.05376,1,0,12.0,6295.98,0
CA-AZ-00000037,CONDO,0,5,63.77,62.3,-0.915,0.0576,2,2,161.5,10520.33,0
CA-GA-00000038,HOA,0,19,78.113,80.72,1.41,0.0466,3,1,19.7,12334.12,0
CA-FL-00000039,HOA,1,13,44.133,45.35,0.96,0.05664,17,7,65.6,134473.88,0
CA-FL-00000040,CONDO,0,35,62.25,61.25,0.035,0.04406,3,2,67.7,10309.84,0
CA-CA-00000041,CONDO,1,22,36.127,36.58,0.08,0.04466,58,35,88.3,440083.56,0
CA-NY-00000042,HOA,0,27,67.347,67.72,0.575,0.05876,1,0,68.0,13214.31,0
CA-NC-00000043,HOA,1,16,56.103,55.71,-0.675,0.04882,7,3,48.0,90818.49,0
CA-FL-00000044,HOA,1,9,13.503,11.94,-0.98,0.06462,35,12,56.4,228747.02,1
CA-CA-00000045,CONDO,0,62,79.18,78.87,-1.06,0.0751,2,0,27.5,13184.46,0
CA-CA-00000046,CONDO,0,31,18.303,16.36,-1.89,0.06145,39,18,72.6,276110.49,1
CA-CO-00000047,CONDO,0,37,40.283,38.21,-0.92,0.05273,10,4,104.7,67961.14,0
CA-CA-00000048,HOA,1,37,15.313,12.1,-1.77,0.0474,57,24,80.3,456845.33,1
CA-NC-00000049,CONDO,1,52,58.34,57.7,-0.555,0.06031,0,0,0.0,0.0,0
CA-FL-00000050,PUD,1,18,68.833,67.32,-2.13,0.05474,2,0,296.0,9305.01,0
CA-CA-00000051,HOA,0,55,36.577,38.17,0.52,0.0594,12,5,59.9,70482.55,0
CA-AZ-00000052,PUD,1,15,45.513,45.35,-0.245,0.05933,15,9,68.8,104547.5,0
CA-CA-00000053,HOA,0,35,70.603,72.42,0.67,0.04083,3,1,73.0,5061.16,0
CA-AZ-00000054,CONDO,0,54,62.1,61.96,-0.565,0.0675,2,1,45.0,21711.53,0
CA-NY-00000055,CONDO,0,30,21.177,20.53,-0.55,0.04585,8,3,115.6,61132.95,1
CA-NV-00000056,CONDO,0,30,57.58,56.57,-0.89,0.06041,1,0,7.0,520.31,0
CA-FL-00000057,CONDO,1,7,35.25,35.51,0.0,0.05196,11,6,61.5,86752.99,0
CA-CA-00000058,HOA,0,29,78.463,77.76,-0.605,0.06087,1,1,51.0,13148.62,0
CA-OH-00000059,CONDO,0,8,50.52,48.84,-1.18,0.06906,21,11,58.3,178987.65,0
CA-NY-00000060,CONDO,0,38,62.77,61.55,-1.39,0.05856,0,0,0.0,0.0,0
CA-NC-00000061,HOA,1,35,77.447,80.29,2.44,0.04733,2,1,30.5,3553.96,0
CA-VA-00000062,HOA,1,59,40.307,39.95,-0.955,0.06505,9,7,49.4,87945.04,0
CA-VA-00000063,HOA,1,56,32.843,30.91,-2.575,0.0406,11,6,54.9,53441.37,0
CA-GA-00000064,HOA,0,2,34.127,33.13,-1.24,0.05839,9,2,76.6,67062.49,0
CA-VA-00000065,HOA,0,13,88.693,89.11,-0.34,0.03523,2,0,63.5,13965.75,0
CA-NY-00000066,HOA,1,36,63.187,63.56,0.83,0.05538,2,0,23.5,14204.84,0
CA-NV-00000067,CONDO,0,65,82.577,82.91,0.865,0.06042,3,1,82.0,18259.17,0
CA-FL-00000068,HOA,0,27,74.81,75.07,0.49,0.05636,0,0,0.0,0.0,0
CA-PA-00000069,HOA,0,16,21.483,21.5,0.66,0.05037,12,2,66.2,70954.66,1
CA-CA-00000070,CONDO,0,27,65.043,65.37,0.19,0.07253,19,12,67.1,167687.4,0
CA-FL-00000071,HOA,1,23,69.91,70.02,0.47,0.04911,3,2,41.3,20593.89,0
CA-CA-00000072,HOA,0,9,2.03,1.3,-1.035,0.05079,50,24,75.3,399009.22,1
CA-FL-00000073,HOA,0,57,82.96,82.52,0.39,0.04786,1,0,56.0,3803.21,0
CA-FL-00000074,CONDO,1,21,73.763,73.63,-0.14,0.04875,1,0,31.0,6475.76,0
CA-CA-00000075,HOA,0,10,43.283,43.09,-0.2,0.05988,16,2,80.6,115416.18,0
CA-AZ-00000076,HOA,0,27,25.187,25.05,-0.575,0.05645,16,9,51.2,122641.19,1
CA-CA-00000077,CONDO,1,5,90.35,91.61,0.785,0.06322,0,0,0.0,0.0,0
CA-CA-00000078,HOA,0,30,48.08,47.09,-0.19,0.03557,14,6,80.7,92654.71,0
CA-FL-00000079,HOA,0,18,25.697,24.47,0.145,0.04537,10,7,70.6,75642.47,1
CA-TX-00000080,CONDO,0,46,24.307,21.99,-2.05,0.0512,13,10,57.5,110150.4,1
CA-PA-00000081,PUD,0,42,40.033,38.34,-2.55,0.05562,1,0,14.0,12755.43,0
CA-NY-00000082,MIXED,1,28,78.273,78.71,0.525,0.05498,1,1,88.0,5198.24,0
CA-CA-00000083,CONDO,1,45,60.313,61.6,0.535,0.05144,2,1,160.0,9621.73,0
CA-AZ-00000084,HOA,0,19,86.283,86.02,-1.03,0.05557,2,0,60.5,14352.87,0
CA-WA-00000085,HOA,0,30,44.703,43.5,-0.575,0.06634,15,6,78.0,98183.36,0
CA-FL-00000086,MIXED,0,42,76.063,76.42,0.58,0.05704,3,1,38.0,25197.65,0
CA-WA-00000087,MIXED,1,57,40.983,40.43,-0.675,0.05968,16,10,104.9,121109.0,0
CA-VA-00000088,CONDO,0,10,90.07,90.72,0.795,0.05099,2,2,200.5,27579.55,0
CA-OH-00000089,CONDO,0,24,31.917,34.04,1.1,0.0589,12,8,53.4,77681.08,0
