caid,vendor_hhi,outflow_count,outflow_total,occupied_pct,collection_rate,collection_gap,reserve_volatility,reserve_max_drop
CA-NV-00000001,0.0,0,0.0,0.95,1.0024,-0.0524,0.0429,-3.58
CA-TX-00000002,0.0,0,0.0,0.875,1.0066,-0.1316,0.2105,-2.4
CA-TX-00000003,0.0,0,0.0,0.9333,0.9997,-0.0664,0.0133,-1.12
CA-TX-00000004,0.0,0,0.0,0.9167,0.9965,-0.0798,0.0737,-3.46
CA-CA-00000005,0.0,0,0.0,0.9459,0.9822,-0.0363,0.1214,-4.48
CA-WA-00000006,0.0,0,0.0,0.9189,1.0019,-0.083,0.0665,-1.64
CA-VA-00000007,0.0,0,0.0,0.8833,0.9999,-0.1166,0.0681,-3.24
CA-NY-00000008,0.0,0,0.0,0.9333,0.9998,-0.0665,0.076,-3.37
CA-CA-00000009,0.0,0,0.0,0.8438,1.0021,-0.1583,0.0165,-0.24
CA-AZ-00000010,0.0,0,0.0,0.8667,0.9894,-0.1227,0.0985,-5.83
CA-TX-00000011,0.0,0,0.0,0.9375,1.0025,-0.065,0.0367,-1.16
CA-FL-00000012,0.0,0,0.0,0.9688,0.9985,-0.0297,0.0505,-3.08
CA-AZ-00000013,0.0,0,0.0,0.9231,0.9797,-0.0566,0.0668,-1.73
CA-FL-00000014,0.0,0,0.0,0.9091,0.9733,-0.0643,0.0358,-1.96
CA-NY-00000015,0.0,0,0.0,0.9231,0.992,-0.069,0.0342,-2.23
CA-IL-00000016,0.0,0,0.0,0.9333,0.994,-0.0607,0.1247,-6.05
CA-CA-00000017,0.0,0,0.0,0.9524,0.9964,-0.044,0.0332,-1.09
CA-CO-00000018,0.0,0,0.0,0.8727,1.0043,-0.1316,0.052,-2.63
CA-IL-00000019,0.0,0,0.0,0.9565,1.0011,-0.0446,0.0353,-1.36
CA-VA-00000020,0.0,0,0.0,1.0,0.9897,0.0103,0.0294,-0.58
CA-TX-00000021,0.0,0,0.0,0.9333,1.0016,-0.0683,0.0366,-1.47
CA-TX-00000022,0.0,0,0.0,0.9474,0.9861,-0.0387,0.0565,-0.79
CA-NC-00000023,0.0,0,0.0,0.9783,0.9905,-0.0122,0.0468,-2.81
CA-FL-00000024,0.0,0,0.0,1.0,0.9836,0.0164,0.2333,-5.09
CA-FL-00000025,0.0,0,0.0,1.0,0.9855,0.0145,0.0675,-2.21
CA-CA-00000026,0.0,0,0.0,0.9792,0.9802,-0.0011,0.1303,-2.57
CA-PA-00000027,0.0,0,0.0,1.0,0.9863,0.0137,0.0156,-0.39
CA-FL-00000028,0.0,0,0.0,0.9483,0.9837,-0.0354,0.1731,-2.63
CA-MA-00000029,0.0,0,0.0,0.8621,0.9956,-0.1335,0.025,-1.78
CA-NC-00000030,0.0,0,0.0,0.8889,1.0085,-0.1196,0.1019,-3.53
CA-FL-00000031,0.0,0,0.0,0.9655,0.9932,-0.0277,0.0481,-3.38
CA-MA-00000032,0.0,0,0.0,0.95,0.9772,-0.0272,0.0818,-4.29
CA-CO-00000033,0.0,0,0.0,0.9318,0.9922,-0.0604,0.0408,-2.75
CA-FL-00000034,0.0,0,0.0,0.9524,0.9838,-0.0314,0.0544,-3.42
CA-WA-00000035,0.0,0,0.0,0.95,0.9999,-0.0499,0.0327,-2.29
CA-NY-00000036,0.0,0,0.0,1.0,0.9748,0.0252,0.053,-4.24
CA-AZ-00000037,0.0,0,0.0,0.9608,0.9999,-0.0391,0.0398,-2.58
CA-GA-00000038,0.0,0,0.0,0.8182,1.0035,-0.1853,0.066,-3.21
CA-FL-00000039,0.0,0,0.0,0.8235,1.0003,-0.1768,0.0792,-3.59
