caid,risk_profile
CA-NV-00000001,HEALTHY
CA-TX-00000002,MODERATE
CA-TX-00000003,HEALTHY
CA-TX-00000004,MODERATE
CA-CA-00000005,MODERATE
CA-WA-00000006,HEALTHY
CA-VA-00000007,HEALTHY
CA-NY-00000008,HEALTHY
CA-CA-00000009,HEALTHY
CA-AZ-00000010,HEALTHY
CA-TX-00000011,HEALTHY
CA-FL-00000012,MODERATE
CA-AZ-00000013,MODERATE
CA-FL-00000014,HEALTHY
CA-NY-00000015,HEALTHY
CA-IL-00000016,MODERATE
CA-CA-00000017,HEALTHY
CA-CO-00000018,HEALTHY
CA-IL-00000019,HEALTHY
CA-VA-00000020,HEALTHY
CA-TX-00000021,HEALTHY
CA-TX-00000022,HEALTHY
CA-NC-00000023,HEALTHY
CA-FL-00000024,STRESSED
CA-FL-00000025,MODERATE
CA-CA-00000026,MODERATE
CA-PA-00000027,HEALTHY
CA-FL-00000028,MODERATE
CA-MA-00000029,HEALTHY
CA-NC-00000030,MODERATE
CA-FL-00000031,HEALTHY
CA-MA-00000032,MODERATE
CA-CO-00000033,HEALTHY
CA-FL-00000034,HEALTHY
CA-WA-00000035,HEALTHY
CA-NY-00000036,HEALTHY
CA-AZ-00000037,HEALTHY
CA-GA-00000038,HEALTHY
CA-FL-00000039,MODERATE
CA-FL-00000040,HEALTHY
CA-CA-00000041,STRESSED
CA-NY-00000042,HEALTHY
CA-NC-00000043,MODERATE
CA-FL-00000044,STRESSED
CA-CA-00000045,HEALTHY
CA-CA-00000046,STRESSED
CA-CO-00000047,MODERATE
CA-CA-00000048,STRESSED
CA-NC-00000049,HEALTHY
CA-FL-00000050,HEALTHY
CA-CA-00000051,MODERATE
CA-AZ-00000052,MODERATE
CA-CA-00000053,HEALTHY
CA-AZ-00000054,HEALTHY
CA-NY-00000055,MODERATE
CA-NV-00000056,HEALTHY
CA-FL-00000057,MODERATE
CA-CA-00000058,HEALTHY
CA-OH-00000059,MODERATE
CA-NY-00000060,HEALTHY
CA-NC-00000061,HEALTHY
CA-VA-00000062,MODERATE
CA-VA-00000063,MODERATE
CA-GA-00000064,MODERATE
CA-VA-00000065,HEALTHY
CA-NY-00000066,HEALTHY
CA-NV-00000067,HEALTHY
CA-FL-00000068,HEALTHY
CA-PA-00000069,MODERATE
CA-CA-00000070,MODERATE
CA-FL-00000071,HEALTHY
CA-CA-00000072,STRESSED
CA-FL-00000073,HEALTHY
CA-FL-00000074,HEALTHY
CA-CA-00000075,MODERATE
CA-AZ-00000076,MODERATE
CA-CA-00000077,HEALTHY
CA-CA-00000078,MODERATE
CA-FL-00000079,MODERATE
CA-TX-00000080,MODERATE
CA-PA-00000081,HEALTHY
CA-NY-00000082,HEALTHY
CA-CA-00000083,HEALTHY
CA-AZ-00000084,HEALTHY
CA-WA-00000085,MODERATE
CA-FL-00000086,HEALTHY
CA-WA-00000087,MODERATE
CA-VA-00000088,HEALTHY
CA-OH-00000089,MODERATE
CA-TX-00000090,MODERATE
CA-NC-00000091,HEALTHY
CA-NC-00000092,HEALTHY
CA-FL-00000093,HEALTHY
CA-TX-00000094,MODERATE
CA-NY-00000095,MODERATE
CA-NV-00000096,HEALTHY
CA-CA-00000097,STRESSED
CA-WA-00000098,STRESSED
CA-FL-00000099,MODERATE
CA-FL-00000100,MODERATE
CA-TX-00000101,HEALTHY
CA-TX-00000102,MODERATE
CA-TX-00000103,HEALTHY
CA-CO-00000104,HEALTHY
CA-NV-00000105,HEALTHY
CA-NY-00000106,HEALTHY
CA-CA-00000107,HEALTHY
CA-FL-00000108,HEALTHY
CA-AZ-00000109,MODERATE
CA-NC-00000110,HEALTHY
CA-NV-00000111,HEALTHY
CA-NC-00000112,STRESSED
CA-FL-00000113,MODERATE
CA-TX-00000114,MODERATE
CA-WA-00000115,MODERATE
CA-NC-00000116,MODERATE
CA-CO-00000117,MODERATE
CA-GA-00000118,HEALTHY
CA-TX-00000119,STRESSED
CA-CA-00000120,HEALTHY
CA-NC-00000121,HEALTHY
CA-IL-00000122,MODERATE
CA-NY-00000123,HEALTHY
CA-VA-00000124,HEALTHY
CA-TX-00000125,HEALTHY
CA-IL-00000126,STRESSED
CA-FL-00000127,HEALTHY
CA-IL-00000128,MODERATE
CA-NV-00000129,HEALTHY
CA-NV-00000130,HEALTHY
CA-FL-00000131,MODERATE
CA-VA-00000132,HEALTHY
CA-IL-00000133,HEALTHY
CA-GA-00000134,MODERATE
CA-IL-00000135,STRESSED
CA-FL-00000136,HEALTHY
CA-CA-00000137,STRESSED
CA-FL-00000138,HEALTHY
CA-OH-00000139,HEALTHY
CA-MA-00000140,HEALTHY
CA-WA-00000141,HEALTHY
CA-IL-00000142,HEALTHY
CA-TX-00000143,HEALTHY
CA-FL-00000144,HEALTHY
CA-CA-00000145,MODERATE
CA-TX-00000146,HEALTHY
CA-TX-00000147,MODERATE
CA-AZ-00000148,HEALTHY
CA-IL-00000149,MODERATE
CA-GA-00000150,HEALTHY
CA-CA-00000151,HEALTHY
CA-FL-00000152,HEALTHY
CA-TX-00000153,HEALTHY
CA-TX-00000154,HEALTHY
CA-NV-00000155,MODERATE
CA-NV-00000156,MODERATE
CA-IL-00000157,STRESSED
CA-TX-00000158,HEALTHY
CA-AZ-00000159,HEALTHY
CA-FL-00000160,MODERATE
CA-GA-00000161,STRESSED
CA-PA-00000162,MODERATE
CA-FL-00000163,MODERATE
CA-NV-00000164,MODERATE
CA-TX-00000165,HEALTHY
CA-CO-00000166,MODERATE
CA-FL-00000167,STRESSED
CA-IL-00000168,MODERATE
CA-MA-00000169,HEALTHY
CA-AZ-00000170,HEALTHY
CA-IL-00000171,HEALTHY
CA-MA-00000172,STRESSED
CA-PA-00000173,STRESSED
CA-TX-00000174,HEALTHY
CA-IL-00000175,HEALTHY
CA-CA-00000176,HEALTHY
CA-NV-00000177,HEALTHY
CA-CO-00000178,STRESSED
CA-NY-00000179,HEALTHY
CA-CA-00000180,HEALTHY
CA-GA-00000181,HEALTHY
CA-MA-00000182,HEALTHY
CA-VA-00000183,HEALTHY
CA-TX-00000184,HEALTHY
CA-CA-00000185,MODERATE
CA-CA-00000186,HEALTHY
CA-CA-00000187,MODERATE
CA-CA-00000188,MODERATE
CA-TX-00000189,MODERATE
CA-FL-00000190,HEALTHY
CA-WA-00000191,HEALTHY
CA-CA-00000192,STRESSED
CA-CA-00000193,MODERATE
CA-IL-00000194,HEALTHY
CA-AZ-00000195,MODERATE
CA-NC-00000196,HEALTHY
CA-TX-00000197,MODERATE
CA-NY-00000198,STRESSED
CA-FL-00000199,HEALTHY
CA-CA-00000200,HEALTHY
CA-GA-00000201,MODERATE
CA-CA-00000202,HEALTHY
CA-OH-00000203,STRESSED
CA-FL-00000204,HEALTHY
CA-VA-00000205,HEALTHY
CA-TX-00000206,HEALTHY
CA-FL-00000207,HEALTHY
CA-CA-00000208,STRESSED
CA-CA-00000209,MODERATE
CA-NC-00000210,HEALTHY
CA-CA-00000211,HEALTHY
CA-CA-00000212,HEALTHY
CA-TX-00000213,MODERATE
CA-WA-00000214,HEALTHY
CA-VA-00000215,HEALTHY
CA-TX-00000216,HEALTHY
CA-GA-00000217,MODERATE
CA-CA-00000218,STRESSED
CA-FL-00000219,STRESSED
CA-FL-00000220,HEALTHY
CA-NV-00000221,HEALTHY
CA-VA-00000222,MODERATE
CA-AZ-00000223,HEALTHY
CA-GA-00000224,STRESSED
CA-GA-00000225,MODERATE
CA-CO-00000226,STRESSED
CA-CO-00000227,MODERATE
CA-GA-00000228,MODERATE
CA-TX-00000229,HEALTHY
