caid,legal_name,association_type,state,city,zip,registration_date,status,total_units,year_built,building_count,coastal_flag
CA-NV-00000001,Underwood Place HOA,HOA,NV,Fairview,13278,2022-04-07,ACTIVE,63,1987.0,1,False
CA-TX-00000002,Young Place Community Association,HOA,TX,Summerfield,42098,2023-04-21,ACTIVE,40,1996.0,1,False
CA-TX-00000003,Herrera Towers HOA,HOA,TX,Riverton,23434,2023-08-30,ACTIVE,70,2017.0,1,False
CA-TX-00000004,Vasquez Commons HOA,HOA,TX,Harbor Springs,81482,2022-05-16,ACTIVE,129,1988.0,1,False
CA-CA-00000005,Castillo Gardens Owners Association,CONDO,CA,Palmetto,65302,2023-09-12,ACTIVE,37,,2,False
CA-WA-00000006,Brooks Villas Condominium Association,HOA,WA,Lakeside,22280,2022-06-04,ACTIVE,37,1991.0,1,True
CA-VA-00000007,Grayson Community Condominium Association,HOA,VA,Oakdale,76237,2023-10-31,ACTIVE,135,1997.0,1,True
CA-NY-00000008,Trujillo Commons Community Association,HOA,NY,Lakeside,83563,2023-07-09,ACTIVE,76,1978.0,1,False
CA-CA-00000009,Grayson Towers Condominium Association,HOA,CA,Harbor Springs,95181,2023-07-14,ACTIVE,32,2004.0,1,False
CA-AZ-00000010,Whitfield Ridge HOA,HOA,AZ,Stonebridge,64987,2022-11-03,ACTIVE,65,1963.0,1,False
CA-TX-00000011,Herrera Place Owners Association,MIXED,TX,Brookhaven,87236,2022-02-14,ACTIVE,32,2008.0,3,False
CA-FL-00000012,Ibarra Villas Owners Association,HOA,FL,Eagle Point,10851,2022-02-16,ACTIVE,32,1988.0,1,False
CA-AZ-00000013,Fuentes Community Owners Association,HOA,AZ,Harbor Springs,65392,2022-07-20,ACTIVE,52,1985.0,1,False
CA-FL-00000014,Kowalski Villas HOA,PUD,FL,Summerfield,30379,2022-07-23,ACTIVE,11,2019.0,1,True
CA-NY-00000015,Grayson Pointe Community Association,MIXED,NY,Eagle Point,54118,2023-04-30,ACTIVE,13,2002.0,5,True
