delinquency_id,caid,snapshot_date,unit_id,days_delinquent,amount_owed,aging_bucket,lien_filed,attorney_referred
DL-QZLRHI5JA4M899XZ,CA-NV-00000001,2024-01-01,U-2555JXURGOWY,30,235.39,DAYS_1_30,False,False
DL-Q03XZLGJSQ40CIAF,CA-NV-00000001,2024-01-01,U-0UI22KX7N89L,30,235.39,DAYS_1_30,False,False
DL-Y794MXR7256CSAVG,CA-NV-00000001,2024-02-01,U-2555JXURGOWY,60,470.78,DAYS_31_60,False,False
DL-YQV1KQHXGPRWBWX9,CA-NV-00000001,2024-02-01,U-WEBNVG5VMF60,30,235.39,DAYS_1_30,False,False
DL-G4WRGC2PIZJZDKKZ,CA-NV-00000001,2024-02-01,U-GSIC43OLFARK,30,235.39,DAYS_1_30,False,False
DL-J7D5BGFXXDVE35FO,CA-NV-00000001,2024-02-01,U-5D3GO8JN42X2,30,235.39,DAYS_1_30,False,False
DL-EQFIVTCYTRND3F3B,CA-NV-00000001,2024-02-01,U-Z7WHWKMY9X8S,30,235.39,DAYS_1_30,False,False
DL-Z719GOK4U70AAU3L,CA-NV-00000001,2024-02-01,U-0UI22KX7N89L,60,470.78,DAYS_31_60,False,False
DL-ASQNXU87JV2D9IIF,CA-NV-00000001,2024-03-01,U-GSIC43OLFARK,60,470.78,DAYS_31_60,False,False
DL-HHWVFMU4I5VTF2PP,CA-NV-00000001,2024-03-01,U-YWR7MKGXUKQ0,30,235.39,DAYS_1_30,False,False
DL-ODT54PBWGUCYRUYL,CA-NV-00000001,2024-04-01,U-YWR7MKGXUKQ0,60,470.78,DAYS_31_60,False,False
DL-QFNOPROJ3EWXXYUE,CA-NV-00000001,2024-05-01,U-GNMBY49E7EOB,30,235.39,DAYS_1_30,False,False
DL-B2NTTC036LTMTTI5,CA-NV-00000001,2024-05-01,U-0ENV5SN961J8,30,235.39,DAYS_1_30,False,False
DL-4VWISZ8H9PLIRANL,CA-NV-00000001,2024-06-01,U-0ENV5SN961J8,60,470.78,DAYS_31_60,False,False
