fee_schedule_id,caid,effective_date,expiration_date,monthly_assessment,frequency,late_fee_amount,late_fee_threshold_days
FS-YW06Q7XXPKCW,CA-NV-00000001,2024-01-01,,210.39,MONTHLY,25,15
FS-1VKZPPCI1AS8,CA-TX-00000002,2024-01-01,,234.58,MONTHLY,25,15
FS-94YXBBY6Y3N0,CA-TX-00000003,2024-01-01,,352.26,MONTHLY,25,15
FS-0TRKVEIPEOO3,CA-TX-00000004,2024-01-01,,339.93,MONTHLY,25,15
FS-ALUVLLAHWY9Z,CA-CA-00000005,2024-01-01,,571.24,MONTHLY,25,15
FS-V70AK4473EXS,CA-WA-00000006,2024-01-01,,295.56,MONTHLY,25,15
FS-66TFCJP0FKYV,CA-VA-00000007,2024-01-01,,399.99,MONTHLY,25,15
FS-6F3W1QRCJ3H6,CA-NY-00000008,2024-01-01,,231.76,MONTHLY,25,15
FS-W9E9LAY0PQIR,CA-CA-00000009,2024-01-01,,334.24,MONTHLY,25,15
FS-23HDD4I6ERP4,CA-AZ-00000010,2024-01-01,,266.8,MONTHLY,25,15
FS-SQZX7OLNR8XC,CA-TX-00000011,2024-01-01,,351.7,MONTHLY,25,15
FS-LLZ9SHG88JRR,CA-FL-00000012,2024-01-01,,383.89,MONTHLY,25,15
FS-7TM4G5MDPKM8,CA-AZ-00000013,2024-01-01,,359.29,MONTHLY,25,15
FS-JTCV0LGFNKNN,CA-FL-00000014,2024-01-01,,276.95,MONTHLY,25,15
FS-V05NHQLRBLKF,CA-NY-00000015,2024-01-01,,549.71,MONTHLY,25,15
FS-IAP7IBTDD49K,CA-IL-00000016,2024-01-01,,578.78,MONTHLY,25,15
FS-PS0LQAPGSN20,CA-CA-00000017,2024-01-01,,346.38,MONTHLY,25,15
FS-4O8MAWZEBT9Y,CA-CO-00000018,2024-01-01,,198.28,MONTHLY,25,15
FS-XU0J63A7T64P,CA-IL-00000019,2024-01-01,,633.35,MONTHLY,25,15
FS-HKTC17PRMFJ9,CA-VA-00000020,2024-01-01,,551.57,MONTHLY,25,15
FS-3D65878RGJ1E,CA-TX-00000021,2024-01-01,,226.79,MONTHLY,25,15
FS-JMH1CAGA82XJ,CA-TX-00000022,2024-01-01,,338.56,MONTHLY,25,15
FS-G28Y2D47UI64,CA-NC-00000023,2024-01-01,,427.72,MONTHLY,25,15
FS-SGJTWUHBD3SZ,CA-FL-00000024,2024-01-01,,473.31,MONTHLY,25,15
FS-BLNFK37AE3CZ,CA-FL-00000025,2024-01-01,,149.58,MONTHLY,25,15
FS-FI11FDVGMVLC,CA-CA-00000026,2024-01-01,,356.45,MONTHLY,25,15
FS-TB3YU5KNLC04,CA-PA-00000027,2024-01-01,,530.55,MONTHLY,25,15
FS-3S703SNSF8H1,CA-FL-00000028,2024-01-01,,717.5,MONTHLY,25,15
FS-5C2JPRZTCM39,CA-MA-00000029,2024-01-01,,341.17,MONTHLY,25,15
FS-P4ZK1KAVY9OG,CA-NC-00000030,2024-01-01,,263.98,MONTHLY,25,15
FS-563475HGFEEU,CA-FL-00000031,2024-01-01,,572.8,MONTHLY,25,15
FS-NG31Z0BFBN14,CA-MA-00000032,2024-01-01,,413.49,MONTHLY,25,15
FS-83F5OMLB295R,CA-CO-00000033,2024-01-01,,588.64,MONTHLY,25,15
FS-TE6AJDH9TGRK,CA-FL-00000034,2024-01-01,,172.6,MONTHLY,25,15
FS-EXA1A99TGT9Y,CA-WA-00000035,2024-01-01,,750.52,MONTHLY,25,15
FS-ARAWS9TYISZX,CA-NY-00000036,2024-01-01,,209.71,MONTHLY,25,15
FS-BIHU8Z2U5P71,CA-AZ-00000037,2024-01-01,,426.41,MONTHLY,25,15
FS-MSMHRMKZAYS0,CA-GA-00000038,2024-01-01,,256.08,MONTHLY,25,15
FS-869T9IK44VZY,CA-FL-00000039,2024-01-01,,322.16,MONTHLY,25,15
FS-FLKSPC6KW8RQ,CA-FL-00000040,2024-01-01,,473.53,MONTHLY,25,15
FS-SWA2K12MLLX1,CA-CA-00000041,2024-01-01,,427.0,MONTHLY,25,15
FS-VEC0GACOY3TL,CA-NY-00000042,2024-01-01,,306.93,MONTHLY,25,15
FS-9PQYSBHIOJ7D,CA-NC-00000043,2024-01-01,,307.05,MONTHLY,25,15
FS-2L2GGTYS4CTD,CA-FL-00000044,2024-01-01,,239.38,MONTHLY,25,15
FS-XAKREDVMEPI6,CA-CA-00000045,2024-01-01,,490.21,MONTHLY,25,15
FS-KYV01BBS56KQ,CA-CA-00000046,2024-01-01,,616.77,MONTHLY,25,15
FS-GTWV3RBWGN56,CA-CO-00000047,2024-01-01,,314.34,MONTHLY,25,15
FS-67QAM8JWY8SC,CA-CA-00000048,2024-01-01,,158.33,MONTHLY,25,15
FS-X33U2SW4D0CF,CA-NC-00000049,2024-01-01,,445.68,MONTHLY,25,15
FS-81Q8O06HJY82,CA-FL-00000050,2024-01-01,,205.06,MONTHLY,25,15
FS-5XAIROYULS38,CA-CA-00000051,2024-01-01,,312.98,MONTHLY,25,15
FS-9Q2Z8RIGAXTF,CA-AZ-00000052,2024-01-01,,323.27,MONTHLY,25,15
FS-UU8PR9JBPYG1,CA-CA-00000053,2024-01-01,,362.19,MONTHLY,25,15
FS-VIOXHTX9FA3F,CA-AZ-00000054,2024-01-01,,546.21,MONTHLY,25,15
FS-OX41IZTTKDNF,CA-NY-00000055,2024-01-01,,571.58,MONTHLY,25,15
FS-L3TT7KO9Q4BQ,CA-NV-00000056,2024-01-01,,394.54,MONTHLY,25,15
FS-2X4LHO8AZHFV,CA-FL-00000057,2024-01-01,,571.67,MONTHLY,25,15
FS-VIWFMLTJVVJF,CA-CA-00000058,2024-01-01,,259.02,MONTHLY,25,15
FS-UHB3NJ272OEC,CA-OH-00000059,2024-01-01,,633.09,MONTHLY,25,15
FS-MF5Y4T8V4FWO,CA-NY-00000060,2024-01-01,,426.1,MONTHLY,25,15
FS-WY4X99IA9PVF,CA-NC-00000061,2024-01-01,,331.74,MONTHLY,25,15
FS-S5O9XFIQG6UN,CA-VA-00000062,2024-01-01,,422.95,MONTHLY,25,15
FS-CXVRUV7ZWMK1,CA-VA-00000063,2024-01-01,,275.21,MONTHLY,25,15
FS-PUHID988SUGG,CA-GA-00000064,2024-01-01,,321.15,MONTHLY,25,15
FS-OFJTUXUHZAK1,CA-VA-00000065,2024-01-01,,347.11,MONTHLY,25,15
FS-2QL4NX2RYTQH,CA-NY-00000066,2024-01-01,,248.89,MONTHLY,25,15
FS-MTT37EPLX3A5,CA-NV-00000067,2024-01-01,,615.34,MONTHLY,25,15
FS-ZRSB2W2Y97QX,CA-FL-00000068,2024-01-01,,286.13,MONTHLY,25,15
FS-M4K6P4R8XDY7,CA-PA-00000069,2024-01-01,,293.79,MONTHLY,25,15
FS-6E9RWP023MO6,CA-CA-00000070,2024-01-01,,435.86,MONTHLY,25,15
FS-T7NB8IU0S9OJ,CA-FL-00000071,2024-01-01,,287.21,MONTHLY,25,15
FS-Y7ZCLUZ87OMD,CA-CA-00000072,2024-01-01,,329.82,MONTHLY,25,15
