reserve_id,caid,snapshot_date,current_balance,fully_funded_target,percent_funded,annual_contribution,last_study_date,study_type
RF-C47H02BY0IWJ,CA-NV-00000001,2024-01-01,2831425.72,3644019.69,77.7,217959.02,2020-06-10,STANDARD
RF-MSX3M19ML1GO,CA-NV-00000001,2024-04-01,2943940.55,3644019.69,80.79,167141.32,2021-05-23,STANDARD
RF-EIOI1V7L4J5W,CA-NV-00000001,2024-07-01,2985083.28,3644019.69,81.92,240222.48,,STANDARD
RF-O06HB1O9WZU4,CA-NV-00000001,2024-10-01,2948158.26,3644019.69,80.9,111442.28,2020-11-22,STANDARD
RF-3IY0O1KPO2DQ,CA-NV-00000001,2025-01-01,3042722.08,3644019.69,83.5,186302.77,2021-11-05,INFORMAL
RF-QBZR7P146KOA,CA-NV-00000001,2025-04-01,2912416.4,3644019.69,79.92,285462.63,2021-09-28,INFORMAL
RF-BP800VVBYW07,CA-TX-00000002,2024-01-01,729675.48,3332450.55,21.9,237477.04,2022-09-20,INFORMAL
RF-19HA2YZ5GZNR,CA-TX-00000002,2024-04-01,883372.99,3332450.55,26.51,110719.22,2022-08-22,STANDARD
RF-6PI6V8QS7GLA,CA-TX-00000002,2024-07-01,831302.85,3332450.55,24.95,204023.53,2023-07-15,STANDARD
RF-IBSR1IA90MSK,CA-TX-00000002,2024-10-01,785817.38,3332450.55,23.58,192105.34,2022-08-29,STANDARD
RF-OL4NYMIXEBQX,CA-TX-00000002,2025-01-01,792593.25,3332450.55,23.78,138955.0,,STANDARD
RF-912FDMI7F76Z,CA-TX-00000002,2025-04-01,712341.63,3332450.55,21.38,191298.74,2023-06-26,STANDARD
RF-97SRD0PTT95I,CA-TX-00000003,2024-01-01,1532709.29,1539748.16,99.54,106415.09,2022-08-23,INFORMAL
RF-AVTPR1YS0LHZ,CA-TX-00000003,2024-04-01,1538410.36,1539748.16,99.91,122298.42,2022-12-17,STANDARD
RF-BSO0IFEH33WW,CA-TX-00000003,2024-07-01,1558805.22,1539748.16,101.24,54838.85,,STANDARD
RF-HZ7V0MBX3W3D,CA-TX-00000003,2024-10-01,1559311.24,1539748.16,101.27,56908.93,2021-09-03,INFORMAL
RF-WZF09LWCSZA4,CA-TX-00000003,2025-01-01,1559531.61,1539748.16,101.28,76209.79,2021-03-25,INFORMAL
RF-NZPIEEVS0HFL,CA-TX-00000003,2025-04-01,1542262.75,1539748.16,100.16,59196.09,,STANDARD
RF-KGGDF6BE5R1A,CA-TX-00000004,2024-01-01,2339080.35,4875048.6,47.98,372374.79,2021-06-26,INFORMAL
RF-76H0ZE8EFM2R,CA-TX-00000004,2024-04-01,2285215.61,4875048.6,46.88,382712.04,,STANDARD
RF-ZHI7W6RGOIME,CA-TX-00000004,2024-07-01,2288708.58,4875048.6,46.95,254555.11,2023-10-04,INFORMAL
RF-07CAX6DQUMOA,CA-TX-00000004,2024-10-01,2120197.48,4875048.6,43.49,263993.86,,INFORMAL
RF-YWS6RMKMDJE0,CA-TX-00000004,2025-01-01,2070589.78,4875048.6,42.47,208861.73,2024-03-24,INFORMAL
RF-43R2BLTKJYVS,CA-TX-00000004,2025-04-01,2119131.95,4875048.6,43.47,187852.9,2024-10-02,INFORMAL
RF-RJZXNG1FXG87,CA-CA-00000005,2024-01-01,1767891.4,4228395.07,41.81,256273.33,2020-11-24,STANDARD
RF-GWCC0UB0Z3O7,CA-CA-00000005,2024-04-01,1578459.96,4228395.07,37.33,256297.01,,STANDARD
RF-K7AJMVAWX46U,CA-CA-00000005,2024-07-01,1770134.06,4228395.07,41.86,218153.13,2021-06-22,INFORMAL
RF-O7I2W2GSW04B,CA-CA-00000005,2024-10-01,1650413.93,4228395.07,39.03,169595.04,,STANDARD
RF-DQ37JWBVL351,CA-CA-00000005,2025-01-01,1620675.22,4228395.07,38.33,295413.73,2021-03-25,INFORMAL
RF-TUGOE4AMO12B,CA-CA-00000005,2025-04-01,1570871.7,4228395.07,37.15,208651.32,2022-01-05,INFORMAL
RF-9K5CNH7LW9H2,CA-WA-00000006,2024-01-01,1473685.71,2868405.6,51.38,123098.62,2022-02-12,STANDARD
RF-B03MFZNYX05C,CA-WA-00000006,2024-04-01,1452896.11,2868405.6,50.65,198558.05,2021-03-21,STANDARD
RF-VY2PTY2WMTLC,CA-WA-00000006,2024-07-01,1405713.18,2868405.6,49.01,221621.09,2023-02-28,INFORMAL
RF-37SAS0WA0V5I,CA-WA-00000006,2024-10-01,1416966.6,2868405.6,49.4,120437.44,2021-09-07,STANDARD
RF-Y3WATZS2P2IB,CA-WA-00000006,2025-01-01,1469714.89,2868405.6,51.24,113090.58,2022-07-06,STANDARD
RF-KJPFKJVX1954,CA-WA-00000006,2025-04-01,1567447.47,2868405.6,54.65,212153.54,,INFORMAL
RF-P9YNBQI4MU2R,CA-VA-00000007,2024-01-01,1761246.31,2725113.96,64.63,174943.83,2023-03-03,STANDARD
RF-VWS6OHG11DRX,CA-VA-00000007,2024-04-01,1823545.14,2725113.96,66.92,200062.81,,STANDARD
RF-HFAC90VV5NGX,CA-VA-00000007,2024-07-01,1833342.72,2725113.96,67.28,189404.39,2021-10-24,INFORMAL
RF-600JJQB27SHP,CA-VA-00000007,2024-10-01,1745151.37,2725113.96,64.04,204170.25,2021-01-29,INFORMAL
RF-YXQQLSL8ELWF,CA-VA-00000007,2025-01-01,1864072.28,2725113.96,68.4,141498.88,,STANDARD
RF-9YIQ3O4M4NJN,CA-VA-00000007,2025-04-01,1867752.29,2725113.96,68.54,183285.82,2021-11-25,STANDARD
RF-KF35IB2AX4V8,CA-NY-00000008,2024-01-01,1564857.53,1928876.91,81.13,64473.91,2023-02-08,STANDARD
RF-FRX52YFNNH2V,CA-NY-00000008,2024-04-01,1551671.99,1928876.91,80.44,82443.91,2022-10-09,INFORMAL
RF-K9U8KKN3HFLE,CA-NY-00000008,2024-07-01,1519012.62,1928876.91,78.75,71704.5,2022-12-05,INFORMAL
RF-1VCTPPA25ZFX,CA-NY-00000008,2024-10-01,1502492.64,1928876.91,77.89,136942.4,2023-10-30,INFORMAL
RF-9LSMXFAMR2RE,CA-NY-00000008,2025-01-01,1616678.85,1928876.91,83.81,138562.22,,INFORMAL
RF-QDAHWT5HKDC7,CA-NY-00000008,2025-04-01,1551652.32,1928876.91,80.44,109899.19,2023-04-09,INFORMAL
RF-R8823YZW1PUG,CA-CA-00000009,2024-01-01,1918220.16,2735197.2,70.13,141420.82,2021-01-31,INFORMAL
