unit_id,caid,unit_number,unit_type,square_footage,bedrooms,occupancy_status,parcel_id
U-AVB3K3QMVIFI,CA-NV-00000001,100,SINGLE_FAMILY,2835.0,4,RENTED,38-7363-463
U-GV3Z6BZ8UUG9,CA-NV-00000001,101,SINGLE_FAMILY,2666.0,3,OWNER_OCCUPIED,
U-IHSA7HEZ74LA,CA-NV-00000001,102,SINGLE_FAMILY,1230.0,3,RENTED,19-7120-821
U-VML90PXRLZU6,CA-NV-00000001,103,TOWNHOME,2111.0,2,OWNER_OCCUPIED,49-5825-230
U-088O98BV78HU,CA-NV-00000001,104,SINGLE_FAMILY,1226.0,2,OWNER_OCCUPIED,50-3750-751
U-3Y0MAHYM2ZBP,CA-NV-00000001,105,SINGLE_FAMILY,1331.0,4,OWNER_OCCUPIED,79-7149-203
U-2U1IQ2BAJDM5,CA-NV-00000001,106,TOWNHOME,957.0,3,RENTED,86-8909-821
U-PXVPBL9OT7TX,CA-NV-00000001,107,SINGLE_FAMILY,1042.0,1,OWNER_OCCUPIED,29-1893-469
U-PKXVHAGKC4LO,CA-NV-00000001,108,SINGLE_FAMILY,1735.0,1,OWNER_OCCUPIED,58-7052-291
U-BPJ4UFZDY3O1,CA-NV-00000001,109,TOWNHOME,899.0,4,RENTED,78-8779-686
U-RC6ZS62YWE1G,CA-NV-00000001,110,SINGLE_FAMILY,1517.0,4,OWNER_OCCUPIED,97-8133-306
U-4J66CNOLJQ52,CA-NV-00000001,111,SINGLE_FAMILY,2790.0,3,OWNER_OCCUPIED,82-2641-208
U-2555JXURGOWY,CA-NV-00000001,112,SINGLE_FAMILY,2271.0,4,OWNER_OCCUPIED,70-5400-481
U-M2L44Y9IK01L,CA-NV-00000001,113,SINGLE_FAMILY,3127.0,3,OWNER_OCCUPIED,62-8937-877
U-3SFLSE45BG34,CA-NV-00000001,114,TOWNHOME,2519.0,1,OWNER_OCCUPIED,57-8605-617
U-WEBNVG5VMF60,CA-NV-00000001,115,TOWNHOME,1817.0,1,OWNER_OCCUPIED,37-4626-762
U-YJOA21A6XVAJ,CA-NV-00000001,116,SINGLE_FAMILY,1901.0,3,RENTED,58-6713-570
U-HKSWVA984UVK,CA-NV-00000001,117,TOWNHOME,2623.0,1,VACANT,45-5278-771
U-GSIC43OLFARK,CA-NV-00000001,118,TOWNHOME,2307.0,2,OWNER_OCCUPIED,83-4111-451
U-YWR7MKGXUKQ0,CA-NV-00000001,119,SINGLE_FAMILY,2939.0,3,OWNER_OCCUPIED,52-2463-327
U-I5P5NVQEBWUW,CA-NV-00000001,120,TOWNHOME,1446.0,3,RENTED,48-7768-155
U-EHOU6QLZ2RWG,CA-NV-00000001,121,SINGLE_FAMILY,669.0,3,OWNER_OCCUPIED,83-3595-601
U-EPPPRAT0861T,CA-NV-00000001,122,SINGLE_FAMILY,,1,RENTED,54-6113-232
U-NVG3KK0VM59M,CA-NV-00000001,123,SINGLE_FAMILY,2121.0,3,OWNER_OCCUPIED,61-1313-333
U-0E0VGNXB5JTB,CA-NV-00000001,124,SINGLE_FAMILY,1092.0,3,OWNER_OCCUPIED,63-8279-489
U-TRFZWKXXJVE3,CA-NV-00000001,125,SINGLE_FAMILY,3180.0,2,OWNER_OCCUPIED,35-4272-896
U-39MOFT6YRIAD,CA-NV-00000001,126,TOWNHOME,3001.0,3,OWNER_OCCUPIED,75-2229-840
U-6XQ9JB354MYP,CA-NV-00000001,127,SINGLE_FAMILY,837.0,1,OWNER_OCCUPIED,52-6857-548
U-5D3GO8JN42X2,CA-NV-00000001,128,TOWNHOME,890.0,5,RENTED,85-8908-921
U-GNMBY49E7EOB,CA-NV-00000001,129,TOWNHOME,1937.0,1,RENTED,83-4669-785
U-SYWP0RXXF36W,CA-NV-00000001,130,TOWNHOME,,4,OWNER_OCCUPIED,73-3709-176
U-LLKSTN3CPUDR,CA-NV-00000001,131,TOWNHOME,2687.0,3,OWNER_OCCUPIED,14-9996-100
U-28W6UXQM334L,CA-NV-00000001,132,SINGLE_FAMILY,3107.0,3,RENTED,24-2596-877
U-AMW2TND6R30O,CA-NV-00000001,133,SINGLE_FAMILY,1452.0,2,VACANT,68-4122-833
U-DO74V1QX8ERT,CA-NV-00000001,134,TOWNHOME,,4,RENTED,75-3903-808
U-0ENV5SN961J8,CA-NV-00000001,135,SINGLE_FAMILY,2504.0,4,OWNER_OCCUPIED,75-5897-963
U-Z7WHWKMY9X8S,CA-NV-00000001,136,TOWNHOME,1970.0,3,RENTED,84-7839-790
U-5PADNBCJ29YF,CA-NV-00000001,137,TOWNHOME,,3,OWNER_OCCUPIED,55-8415-204
U-0UI22KX7N89L,CA-NV-00000001,138,SINGLE_FAMILY,703.0,3,OWNER_OCCUPIED,66-4695-748
U-1TV18KGYGGSN,CA-NV-00000001,139,TOWNHOME,2929.0,2,OWNER_OCCUPIED,10-6415-577
U-B7V1W4K2TCZS,CA-NV-00000001,140,SINGLE_FAMILY,2782.0,1,OWNER_OCCUPIED,78-7609-194
U-HHLMH1T939AY,CA-NV-00000001,141,TOWNHOME,3163.0,4,OWNER_OCCUPIED,
U-N2EJ0AS1SSRK,CA-NV-00000001,142,TOWNHOME,1962.0,3,VACANT,78-9736-107
U-HWHY4H350P3C,CA-NV-00000001,143,SINGLE_FAMILY,747.0,3,OWNER_OCCUPIED,16-3916-913
U-UUIJNWPAYTXW,CA-NV-00000001,144,TOWNHOME,3048.0,1,RENTED,74-2738-396
U-VK7N3BFH024K,CA-NV-00000001,145,TOWNHOME,1870.0,3,RENTED,92-7113-111
U-EAVT8K06MOXS,CA-NV-00000001,146,SINGLE_FAMILY,1554.0,3,OWNER_OCCUPIED,95-1891-971
U-XCYJHU8MYIKC,CA-NV-00000001,147,TOWNHOME,2640.0,3,OWNER_OCCUPIED,84-3496-679
U-38GL2ZXJMYLR,CA-NV-00000001,148,TOWNHOME,1901.0,3,OWNER_OCCUPIED,20-5597-979
U-6H0W064W3U1H,CA-NV-00000001,149,SINGLE_FAMILY,,2,RENTED,93-3435-474
U-I10KQSOSX43W,CA-NV-00000001,150,TOWNHOME,2755.0,2,OWNER_OCCUPIED,82-3395-853
U-7B1IJIYS2N75,CA-NV-00000001,151,TOWNHOME,,3,OWNER_OCCUPIED,91-5480-954
U-UUNNV6CJ9IO3,CA-NV-00000001,152,TOWNHOME,2624.0,4,OWNER_OCCUPIED,66-3713-335
U-SKFFV3XOLEYR,CA-NV-00000001,153,SINGLE_FAMILY,2333.0,1,OWNER_OCCUPIED,30-3207-744
U-6FF7SO8W5038,CA-NV-00000001,154,SINGLE_FAMILY,3134.0,5,RENTED,62-3338-913
U-WSGY7VCNEAS6,CA-NV-00000001,155,SINGLE_FAMILY,1262.0,3,OWNER_OCCUPIED,86-1639-998
U-DX6TA7YPP5ZP,CA-NV-00000001,156,SINGLE_FAMILY,2624.0,3,OWNER_OCCUPIED,99-2600-535
