violation_id,caid,unit_id,issue_date,violation_category,cure_deadline,fine_amount,status,resolution_date
VL-CSCPITRDK6AO,CA-NV-00000001,U-TRFZWKXXJVE3,2024-01-13,PARKING,2024-02-12,50.0,ESCALATED,
VL-PC93BE2M0LA4,CA-NV-00000001,U-39MOFT6YRIAD,2024-06-04,PET,2024-07-04,65.67,CURED,2024-07-26
VL-Z4I4WAITJYFO,CA-NV-00000001,U-QZFHOMTZZF8A,2025-04-18,NOISE,2025-05-18,47.67,ESCALATED,
VL-ZBFAFCIU4WIS,CA-NV-00000001,U-3SFLSE45BG34,2024-11-13,ARCHITECTURAL,2024-12-13,301.98,OPEN,
VL-2UESM0J6LOVO,CA-NV-00000001,U-4J66CNOLJQ52,2024-03-07,ARCHITECTURAL,2024-04-06,60.16,DISMISSED,2024-03-22
VL-8MTJX36EE2VN,CA-NV-00000001,U-IHSA7HEZ74LA,2025-02-01,PET,2025-03-03,300.48,CURED,2025-03-15
VL-RNUXD3F3ABZ4,CA-NV-00000001,U-3Y0MAHYM2ZBP,2025-03-12,ARCHITECTURAL,2025-04-11,144.1,HEARING_SCHEDULED,
VL-WTLX8OTG9LK3,CA-NV-00000001,U-39MOFT6YRIAD,2024-08-09,PET,2024-09-08,257.05,OPEN,
VL-433CHORNHR4Y,CA-NV-00000001,U-AMW2TND6R30O,2025-03-09,PET,2025-04-08,192.03,ESCALATED,
VL-GCZQEUCOLF8H,CA-TX-00000002,U-L48C1CQG433E,2025-04-08,ARCHITECTURAL,2025-05-08,29.77,CURED,2025-05-24
VL-XLC09SNUMW06,CA-TX-00000002,U-TLQ5V4FTQ3TQ,2024-02-28,TRASH,2024-03-29,36.21,DISMISSED,2024-03-23
VL-NZQJE0UIZYS6,CA-TX-00000002,U-S9DWD7OI0PES,2025-03-20,ARCHITECTURAL,2025-04-19,100.84,CURED,2025-05-01
VL-4AQZP25QSS9T,CA-TX-00000002,U-L48C1CQG433E,2025-01-12,ARCHITECTURAL,2025-02-11,81.31,CURED,2025-02-26
VL-A55JFF20T8U6,CA-TX-00000002,U-I8QOAGSUSMES,2024-07-13,PARKING,2024-08-12,55.86,DISMISSED,2024-07-24
VL-42LF9Y19V4WA,CA-TX-00000002,U-32CWT04CHSDI,2024-09-05,PET,2024-10-05,109.26,FINED,
