work_order_id,caid,unit_id,created_date,category,priority,status,estimated_cost,actual_cost,completion_date,deferred_days
WO-PXOQAWX2B7J0,CA-NV-00000001,,2024-01-18,LANDSCAPING,LOW,COMPLETED,14669.09,1644.09,2024-01-25,7
WO-Q2TE9T03XWML,CA-NV-00000001,,2024-02-12,ROOFING,LOW,COMPLETED,7438.12,7515.04,2024-03-01,18
WO-525BX7B2D0W2,CA-NV-00000001,,2024-02-27,STRUCTURAL,MEDIUM,COMPLETED,6974.44,8922.11,2024-03-07,9
WO-U3L4K6V0OZGU,CA-NV-00000001,,2024-03-26,GENERAL,MEDIUM,COMPLETED,8410.8,4648.71,2024-03-31,5
WO-PO9DS1TH3C1J,CA-NV-00000001,,2024-03-02,ELECTRICAL,HIGH,COMPLETED,5601.55,1756.56,2024-03-19,17
WO-0XRUJE6BT31W,CA-NV-00000001,,2024-04-18,PLUMBING,MEDIUM,COMPLETED,1961.36,9488.07,2024-05-06,18
WO-8IBSE420Y2DB,CA-NV-00000001,,2024-04-13,ROOFING,MEDIUM,COMPLETED,5653.52,6365.98,2024-05-01,18
WO-U6UGFURNW8VC,CA-NV-00000001,,2024-05-09,HVAC,MEDIUM,COMPLETED,3592.18,9553.45,2024-05-12,3
WO-SYZ8QU7UL5MO,CA-NV-00000001,,2024-06-02,HVAC,HIGH,COMPLETED,8561.74,8401.76,2024-06-16,14
WO-XBH7J2WXQY32,CA-NV-00000001,,2024-06-06,STRUCTURAL,HIGH,COMPLETED,7549.45,9918.98,2024-06-19,13
WO-TTKXLBG9XA9F,CA-NV-00000001,,2024-07-25,GENERAL,LOW,COMPLETED,2141.27,11726.0,2024-08-14,20
WO-LPWO78XXRCHV,CA-NV-00000001,,2024-08-07,PLUMBING,LOW,COMPLETED,12980.99,11649.12,2024-08-21,14
WO-QLIT26AFMWRO,CA-NV-00000001,,2024-10-27,LANDSCAPING,MEDIUM,COMPLETED,7613.76,6081.32,2024-11-01,5
WO-MMIV40JARD3W,CA-NV-00000001,,2024-10-11,ELECTRICAL,MEDIUM,COMPLETED,11428.24,5715.7,2024-10-31,20
WO-ZHKUS734E8FC,CA-NV-00000001,,2024-12-15,PLUMBING,MEDIUM,COMPLETED,8832.14,3192.39,2025-01-01,17
WO-EI60ICSFLV5Z,CA-NV-00000001,,2024-12-11,STRUCTURAL,HIGH,COMPLETED,13164.7,3089.49,2024-12-12,1
WO-5M6R9HFA4HTT,CA-NV-00000001,,2025-01-16,GENERAL,MEDIUM,COMPLETED,9458.72,3743.4,2025-01-18,2
WO-HUVOWXJD0YCP,CA-NV-00000001,,2025-03-22,HVAC,EMERGENCY,OPEN,11512.7,,,10
WO-BE1JLFF6RJHB,CA-NV-00000001,,2025-04-16,LANDSCAPING,EMERGENCY,COMPLETED,2192.59,2703.23,2025-05-05,19
WO-N41M5CXCQRVH,CA-NV-00000001,,2025-05-02,GENERAL,MEDIUM,COMPLETED,533.79,8185.76,2025-05-17,15
WO-JU8L6LPU51WU,CA-TX-00000002,,2024-01-11,ROOFING,EMERGENCY,COMPLETED,8554.59,11770.57,2024-01-20,9
WO-XU0HCL536GJE,CA-TX-00000002,,2024-01-22,GENERAL,MEDIUM,COMPLETED,14337.28,4699.4,2024-02-09,18
WO-UKLNDYK3TBFC,CA-TX-00000002,,2024-02-11,HVAC,EMERGENCY,COMPLETED,6689.74,11015.14,2024-02-27,16
WO-5R8SXUVJZ3GJ,CA-TX-00000002,,2024-02-23,LANDSCAPING,MEDIUM,COMPLETED,6671.04,3085.32,2024-02-26,3
WO-WVBQKRK0GYVP,CA-TX-00000002,,2024-02-24,STRUCTURAL,HIGH,COMPLETED,14612.7,10693.49,2024-03-05,10
WO-WIPBBOBPC0IG,CA-TX-00000002,,2024-02-19,LANDSCAPING,MEDIUM,COMPLETED,9365.49,11864.87,2024-03-10,20
WO-FYIQEQA4KY19,CA-TX-00000002,,2024-02-04,ROOFING,MEDIUM,COMPLETED,10011.62,6308.19,2024-02-06,2
WO-T8TQXNMWD4NF,CA-TX-00000002,,2024-03-18,STRUCTURAL,MEDIUM,COMPLETED,2604.6,3505.7,2024-03-28,10
WO-98B4RR6LTLFG,CA-TX-00000002,,2024-03-19,ROOFING,MEDIUM,OPEN,14286.17,,,23
