caid,anomaly_score,iforest_flag,is_true_fraud
CA-WA-00000191,0.14268937250310432,1,1
CA-TX-00000259,0.12294537510789227,1,1
CA-CA-00000053,0.07197270400953892,1,1
CA-VA-00000183,0.06113473588059648,1,1
CA-PA-00000173,0.04326391738075708,1,0
CA-CA-00000176,0.0010808595831568457,1,1
CA-GA-00000118,-2.205835883994922e-05,0,1
CA-CA-00000137,-0.038479938111745104,0,0
CA-IL-00000135,-0.08691209001276468,0,0
CA-FL-00000272,-0.08783664814582437,0,0
CA-CA-00000075,-0.109748619578389,0,0
CA-CA-00000046,-0.11887470375967335,0,0
CA-CA-00000192,-0.12414185733622574,0,0
CA-MA-00000172,-0.12810023296603656,0,0
CA-CA-00000268,-0.13671487618263967,0,0
CA-TX-00000197,-0.14003802651457353,0,0
CA-GA-00000038,-0.15391760672847105,0,0
CA-CA-00000097,-0.15432461453936702,0,0
CA-CA-00000264,-0.15791645531312742,0,0
CA-FL-00000039,-0.16124326406359563,0,0
CA-CA-00000009,-0.16196116005240407,0,0
CA-CA-00000058,-0.16562316353475848,0,0
CA-FL-00000256,-0.1665526247673011,0,0
CA-NY-00000106,-0.1675417813866809,0,0
CA-FL-00000024,-0.1816334290020588,0,0
CA-TX-00000147,-0.18690277168167335,0,0
CA-TX-00000189,-0.1901303579204907,0,0
CA-VA-00000063,-0.19812583438155557,0,0
CA-GA-00000224,-0.1984205894245652,0,0
CA-FL-00000295,-0.19850840242240664,0,0
CA-PA-00000027,-0.200570308535732,0,0
CA-AZ-00000010,-0.20269293803010513,0,0
CA-NY-00000036,-0.20432422603714734,0,0
CA-CA-00000048,-0.20647281992010125,0,0
CA-TX-00000090,-0.2087948276118221,0,0
CA-NY-00000285,-0.2105829028109999,0,0
CA-NV-00000221,-0.21072599971350037,0,0
CA-WA-00000266,-0.21243490781152663,0,0
CA-FL-00000219,-0.21269433809067495,0,0
CA-PA-00000081,-0.2177283800508265,0,0
CA-TX-00000002,-0.21901251627577684,0,0
CA-IL-00000128,-0.22184612938875853,0,0
CA-CA-00000255,-0.22197559572942255,0,0
CA-VA-00000020,-0.2221063749099802,0,0
CA-FL-00000167,-0.2236636836038633,0,0
CA-FL-00000290,-0.22561340883362907,0,0
CA-CO-00000282,-0.22633409387199976,0,0
CA-VA-00000291,-0.2284404629905899,0,0
CA-NC-00000112,-0.2306787804735544,0,0
CA-WA-00000098,-0.23180047615369087,0,0
CA-OH-00000281,-0.23301066279475513,0,0
CA-FL-00000253,-0.2371670935684808,0,0
CA-FL-00000131,-0.2381669466189173,0,0
CA-AZ-00000273,-0.23887470691422497,0,0
CA-NV-00000274,-0.23892189763628052,0,0
CA-NV-00000164,-0.23921133994577437,0,0
CA-CA-00000237,-0.24116018940349776,0,0
CA-TX-00000143,-0.2421747812737951,0,0
CA-FL-00000025,-0.24244236996486057,0,0
CA-NV-00000096,-0.2430415763715678,0,0
CA-VA-00000132,-0.24311667467591574,0,0
CA-IL-00000133,-0.24397558560731736,0,0
CA-NY-00000123,-0.24453908337418923,0,0
CA-MA-00000029,-0.2450997313527531,0,0
CA-CO-00000226,-0.24538922934744417,0,0
CA-FL-00000050,-0.24598734565658492,0,0
CA-NV-00000111,-0.2483806837489294,0,0
CA-TX-00000280,-0.2486738111586621,0,0
CA-NY-00000082,-0.24883847103702994,0,0
CA-FL-00000243,-0.2488712388020991,0,0
CA-TX-00000114,-0.25053301755588525,0,0
CA-CA-00000026,-0.251340515895079,0,0
CA-TX-00000286,-0.25155773461048697,0,0
CA-NY-00000198,-0.2522784176770188,0,0
CA-TX-00000101,-0.25318736149692767,0,0
CA-NV-00000130,-0.25351236127625043,0,0
CA-FL-00000079,-0.25363240601225584,0,0
CA-CO-00000241,-0.25401679650404,0,0
CA-MA-00000169,-0.2548004666185647,0,0
CA-VA-00000222,-0.25486737606120363,0,0
CA-NC-00000279,-0.25497982954063014,0,0
CA-NY-00000042,-0.25555199259711403,0,0
CA-VA-00000278,-0.2561422416710338,0,0
CA-FL-00000044,-0.2561700354068056,0,0
CA-CO-00000178,-0.25621602367868357,0,0
CA-TX-00000146,-0.2566694301078729,0,0
CA-NC-00000030,-0.256857111160167,0,0
CA-VA-00000124,-0.25705625434227863,0,0
CA-IL-00000242,-0.2573580835291816,0,0
CA-TX-00000206,-0.25742983082863036,0,0
CA-IL-00000157,-0.2579337924878202,0,0
CA-FL-00000086,-0.2583854457816212,0,0
CA-VA-00000215,-0.2591533022782432,0,0
CA-NC-00000091,-0.2593329048784528,0,0
CA-CO-00000227,-0.2593702627093787,0,0
CA-TX-00000252,-0.2597466303063522,0,0
CA-CO-00000104,-0.2601430532748002,0,0
CA-IL-00000194,-0.2604220213742568,0,0
CA-IL-00000016,-0.26043874427380453,0,0
CA-VA-00000289,-0.26071541734980236,0,0
CA-CA-00000045,-0.2607805702303857,0,0
CA-TX-00000184,-0.2612784092000153,0,0
CA-FL-00000265,-0.26165933412402315,0,0
CA-OH-00000089,-0.26250298250044724,0,0
CA-IL-00000126,-0.2625916333035342,0,0
CA-FL-00000296,-0.26419356210980266,0,0
CA-CO-00000018,-0.2649702301126724,0,0
CA-NY-00000258,-0.26556323552220273,0,0
CA-IL-00000261,-0.26613176794658655,0,0
CA-NC-00000196,-0.26628590481737374,0,0
CA-NY-00000055,-0.26639013811449913,0,0
CA-CA-00000200,-0.266564351089089,0,0
CA-FL-00000099,-0.26785906377492935,0,0
CA-TX-00000233,-0.2679126757153905,0,0
CA-IL-00000175,-0.26794188216039416,0,0
CA-FL-00000113,-0.2688386132596706,0,0
CA-GA-00000225,-0.2707090611378227,0,0
CA-CA-00000208,-0.27187914648518896,0,0
CA-FL-00000014,-0.27192486924565645,0,0
CA-TX-00000298,-0.2724691339363402,0,0
CA-TX-00000103,-0.27272991462058627,0,0
CA-CA-00000151,-0.27412071314988706,0,0
CA-MA-00000182,-0.2748652319694182,0,0
CA-GA-00000064,-0.274992272272906,0,0
CA-GA-00000228,-0.2754297333353699,0,0
CA-NV-00000129,-0.2754421628471411,0,0
CA-CA-00000218,-0.2754783924319602,0,0
CA-GA-00000270,-0.2758997945314044,0,0
CA-GA-00000134,-0.2762850947433858,0,0
