delinquency_id,caid,snapshot_date,unit_id,days_delinquent,amount_owed,aging_bucket,lien_filed,attorney_referred
DL-JSG65KXVF1T2TALA,CA-FL-00000001,2024-12-31,U-XAJI0Y6DPBHS,0,0,CURRENT,False,False
DL-753LC58DRC11ERTJ,CA-FL-00000001,2024-12-31,U-UZZPQK51FPKH,45,1150,DAYS_31_60,False,False
DL-5PHT0HL9XPSEIMVI,CA-FL-00000001,2024-12-31,U-DNMMJBQE7CKW,95,2300,DAYS_91_120,True,False
DL-TYT7D5J60FKHMY4S,CA-CA-00000002,2024-12-31,U-HCWI64CIYHE7,0,0,CURRENT,False,False
DL-J6BW3BME9FPZUE8Y,CA-CA-00000002,2024-12-31,U-UIRODXMO5BXX,45,570,DAYS_31_60,False,False
DL-FBNTPBN78BMYYMU5,CA-CA-00000002,2024-12-31,U-OM5IGQPKI7P5,95,1140,DAYS_91_120,True,False
DL-A11DPG8SBI4Q2Y9V,CA-TX-00000003,2024-12-31,U-907IF2GOG72O,0,0,CURRENT,False,False
DL-86WZS3T60RJIW1SW,CA-TX-00000003,2024-12-31,U-53J2D54I3QK2,45,570,DAYS_31_60,False,False
DL-JCKJLTEIYZCOTOHP,CA-TX-00000003,2024-12-31,U-IXOKC1MSY4LA,95,1140,DAYS_91_120,True,False
DL-1UYMRLRMJKV5USGI,CA-GA-00000004,2024-12-31,U-6VZ41NAM148P,0,0,CURRENT,False,False
DL-OTIRZQAKOIXNTM9T,CA-GA-00000004,2024-12-31,U-026RJRNY2047,45,440,DAYS_31_60,False,False
DL-MQLIZL08YG0JV1V9,CA-GA-00000004,2024-12-31,U-T6VXDP5GJLQM,95,880,DAYS_91_120,True,False
DL-YK83TQLL8OS9XTOG,CA-NV-00000005,2024-12-31,U-3KMKZEBBK7W1,0,0,CURRENT,False,False
DL-N1W1HT7PZE9VIFTT,CA-NV-00000005,2024-12-31,U-5UQPGB7R3OCW,45,640,DAYS_31_60,False,False
DL-D96QE3RZSJ49ITN7,CA-NV-00000005,2024-12-31,U-F38DIUOVW1N6,95,1280,DAYS_91_120,True,False
