ledger_entry_id,caid,unit_id,transaction_date,transaction_type,amount,balance_after,payment_method
LE-Y41IBLJH75LXO6QJ,CA-FL-00000001,U-XAJI0Y6DPBHS,2024-06-01,ASSESSMENT_CHARGE,-575,-575,
LE-IUJV6OH9SDBDW2PC,CA-FL-00000001,U-UZZPQK51FPKH,2024-07-01,ASSESSMENT_CHARGE,-575,-1150,
LE-N9T84AZYTJXEPQ85,CA-FL-00000001,U-DNMMJBQE7CKW,2024-08-01,ASSESSMENT_CHARGE,-575,-1725,
LE-C0CLBR7TCS4CC5O7,CA-CA-00000002,U-HCWI64CIYHE7,2024-06-01,ASSESSMENT_CHARGE,-285,-285,
LE-UUBCXULJYLJEXQ77,CA-CA-00000002,U-UIRODXMO5BXX,2024-07-01,ASSESSMENT_CHARGE,-285,-570,
LE-AWUDTSEMCIKPTK93,CA-CA-00000002,U-OM5IGQPKI7P5,2024-08-01,ASSESSMENT_CHARGE,-285,-855,
LE-4ZKLOOKEP7Y6WKTA,CA-TX-00000003,U-907IF2GOG72O,2024-06-01,ASSESSMENT_CHARGE,-285,-285,
LE-KPUXQPHR62GDSWM3,CA-TX-00000003,U-53J2D54I3QK2,2024-07-01,ASSESSMENT_CHARGE,-285,-570,
LE-1YIHAIR4COWGZRIX,CA-TX-00000003,U-IXOKC1MSY4LA,2024-08-01,ASSESSMENT_CHARGE,-285,-855,
LE-8Z2FLU7U6N7HV3IZ,CA-GA-00000004,U-6VZ41NAM148P,2024-06-01,ASSESSMENT_CHARGE,-220,-220,
LE-KY22UBTXCXAPRPN6,CA-GA-00000004,U-026RJRNY2047,2024-07-01,ASSESSMENT_CHARGE,-220,-440,
LE-QFGSXW71Q3VLI7KQ,CA-GA-00000004,U-T6VXDP5GJLQM,2024-08-01,ASSESSMENT_CHARGE,-220,-660,
LE-WX7PTX63CFL0UKEY,CA-NV-00000005,U-3KMKZEBBK7W1,2024-06-01,ASSESSMENT_CHARGE,-320,-320,
LE-Z7SRCBPLJD84U89Y,CA-NV-00000005,U-5UQPGB7R3OCW,2024-07-01,ASSESSMENT_CHARGE,-320,-640,
LE-JB1QX6GVWRDMLY4L,CA-NV-00000005,U-F38DIUOVW1N6,2024-08-01,ASSESSMENT_CHARGE,-320,-960,
