unit_id,caid,unit_number,unit_type,occupancy_status
U-XAJI0Y6DPBHS,CA-FL-00000001,100,CONDO_UNIT,OWNER_OCCUPIED
U-UZZPQK51FPKH,CA-FL-00000001,101,CONDO_UNIT,OWNER_OCCUPIED
U-DNMMJBQE7CKW,CA-FL-00000001,102,CONDO_UNIT,OWNER_OCCUPIED
U-HCWI64CIYHE7,CA-CA-00000002,100,SINGLE_FAMILY,RENTED
U-UIRODXMO5BXX,CA-CA-00000002,101,SINGLE_FAMILY,OWNER_OCCUPIED
U-OM5IGQPKI7P5,CA-CA-00000002,102,SINGLE_FAMILY,RENTED
U-907IF2GOG72O,CA-TX-00000003,100,SINGLE_FAMILY,RENTED
U-53J2D54I3QK2,CA-TX-00000003,101,SINGLE_FAMILY,OWNER_OCCUPIED
U-IXOKC1MSY4LA,CA-TX-00000003,102,SINGLE_FAMILY,OWNER_OCCUPIED
U-6VZ41NAM148P,CA-GA-00000004,100,SINGLE_FAMILY,RENTED
U-026RJRNY2047,CA-GA-00000004,101,SINGLE_FAMILY,RENTED
U-T6VXDP5GJLQM,CA-GA-00000004,102,SINGLE_FAMILY,OWNER_OCCUPIED
U-3KMKZEBBK7W1,CA-NV-00000005,100,SINGLE_FAMILY,OWNER_OCCUPIED
U-5UQPGB7R3OCW,CA-NV-00000005,101,SINGLE_FAMILY,OWNER_OCCUPIED
U-F38DIUOVW1N6,CA-NV-00000005,102,SINGLE_FAMILY,OWNER_OCCUPIED
